date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 12:15:54,Linksfraktion,,8,23,109,"Ein Hinweis in eigener Sache: In Verantwortung für Ihre/Eure Gesundheit sagen wir vorerst bis zum 30. April 2020 alle Veranstaltungen der Fraktion DIE LINKE. im Bundestag ab. #Corona #coronavirusdeutschland",,,#Corona #coronavirusdeutschland,1237713858372030464,https://twitter.com/Linksfraktion/status/1237713858372030464
2020-03-11 09:44:45,AfDimBundestag,,29,39,148,"Der verkehrspolitische Sprecher der #AfD-Fraktion @DirkSpaniel fordert, die Gebühren für das Nutzen öffentlicher Parkplätze auszusetzen: ""Sofortige Aussetzung der Parkgebühren in den Innenstädten, um #Corona-Ansteckungsgefahr zu reduzieren!"" #coronavirus https://www.afdbundestag.de/spaniel-sofortige-aussetzung-der-parkgebuehren-in-den-innenstaedten-um-corona-ansteckungsgefahr-zu-reduzieren/",,@DirkSpaniel,#AfD #Corona #coronavirus,1237675819901779968,https://twitter.com/AfDimBundestag/status/1237675819901779968
2020-03-10 15:09:10,AfDimBundestag,,15,43,193,"An vielen Schulen sind die sanitären Anlagen in einem schlechten Zustand, der zur Ansteckung mit #COVID19 beitragen kann. Dazu unser bildungspolitischer Sprecher @GtzFrmming: ""#AfD-Fraktionen fordern bessere Vorbereitung der Schulen"" #CoronaVirusDE #Corona ",,@GtzFrmming,#COVID19 #AfD #CoronaVirusDE #Corona,1237395075199455240,https://twitter.com/AfDimBundestag/status/1237395075199455240
2020-03-04 14:34:10,Linksfraktion,,2,20,64,".@Amira_M_Ali: BuReg ist in der Pflicht, durch konkrete Maßnahmen mehr für den Schutz der Bürger zu tun. Tests müssen schnell möglich und Desinfektionsmittel vorhanden sein. Das Gesundheitswesen darf nicht weiter kaputtgespart werden, sondern muss in öffentliche Hand! #corona ",,@Amira_M_Ali,#corona,1235211942437978114,https://twitter.com/Linksfraktion/status/1235211942437978114
2020-03-04 11:51:12,AfDimBundestag,,5,15,58,"Unternehmen leiden unter einem erheblichen Arbeitsausfall, Lieferungen bleiben aus. Dazu @ulschzi und @Pohl_MdB: ""#Corona-Krise bedroht die deutsche Wirtschaft – Sicherung der sozialen Existenz ist ebenso lebenswichtig!"" #AfD #Covid_19 #COVID19de",,@ulschzi @Pohl_MdB,#Corona #AfD #Covid_19 #COVID19de,1235170928448999424,https://twitter.com/AfDimBundestag/status/1235170928448999424
2020-03-02 16:00:01,Linksfraktion,,3,16,48,"Gesundheitsausschuss beriet heute in Sondersitzung zu #Corona Virus. Weiterhin bestehe kein Anlass zur Panik, so @AchimKesslerMdB u fügt hinzu: »Jetzt rächt sich, dass unser Gesundheitssystem in den letzten Jahrzehnten auf Profit und Markt getrimmt wurde.« https://www.linksfraktion.de/presse/pressemitteilungen/detail/coronavirus-jetzt-raecht-sich-dass-unser-gesundheitssystem-auf-profit-und-markt-getrimmt-wurde/",,@AchimKesslerMdB,#Corona,1234508768135782400,https://twitter.com/Linksfraktion/status/1234508768135782400
2020-02-26 15:37:33,AfDimBundestag,,113,286,898,"+++Deutschland stolpert hilflos in die #Corona-Krise!+++ Trotz der bedrohlichen Entwicklung beschwichtigt die Regierung nur und handelt nicht. Die #AfD-Fraktionsvorsitzende @Alice_Weidel kritisiert Gesundheitsminister Jens #Spahn und die #GroKo. #Covid19",,@Alice_Weidel,#Corona #AfD #Spahn #GroKo #Covid19,1232691177926922240,https://twitter.com/AfDimBundestag/status/1232691177926922240
2020-02-14 08:28:19,AfDimBundestag,,3,11,27,"Zur Aktuellen Stunde „Strategie zur Vorbeugung geg. das #CORONA-Virus im #Bundestag fordern @DrRobbySchlund&amp;Detlev Spangenberg zusätzliche Maßnahmen für Prävention zu ergreifen und einen weltweiten Maßnahmeplan für solche Katastrophen zu erarbeiten.“ #AfD",,@DrRobbySchlund,#CORONA #Bundestag #AfD,1228234504122224647,https://twitter.com/AfDimBundestag/status/1228234504122224647
2020-02-12 15:20:43,AfDimBundestag,,95,193,576,"+++#Grüne Gesundheitspolitik+++ Schon gewusst? ""Verschwörungstheorien und #Rassismus fördern die Verbreitung von Viren"", so die Grünen-Abgeordnete Kordula Schulz-Asche. Aha, alles klar.. #Corona #Covid19 #AfD",,,#Gr #Rassismus #Corona #Covid19 #AfD,1227613510181572614,https://twitter.com/AfDimBundestag/status/1227613510181572614
2020-02-12 15:13:11,AfDimBundestag,,21,66,300,"In der Aktuellen Stunde zur Vorbeugung gegen das Corona-Virus platzt #AfD-MdB Robby Schlund nach unqualifizierten Zwischenrufen der Linken der Kragen: ""Können Sie einfach mal ihre Klappe halten und zuhören?"" #Bundestag #coronavirus",,,#AfD #Bundestag #coronavirus,1227611616432271360,https://twitter.com/AfDimBundestag/status/1227611616432271360
